source_publication_version,transcript_count,seller_id,dev_profit_cents
0,2,seller-a,0
0,2,seller-b,0
1,19,seller-a,-100
1,19,seller-b,-300
2,36,seller-a,-100
2,36,seller-b,-300
3,58,seller-a,200
3,58,seller-b,-300
4,79,seller-a,200
4,79,seller-b,-300
5,97,seller-a,200
5,97,seller-b,200
6,116,seller-a,200
6,116,seller-b,200
7,134,seller-a,200
7,134,seller-b,200
8,137,seller-a,200
8,137,seller-b,200
9,154,seller-a,0
9,154,seller-b,200
10,171,seller-a,0
10,171,seller-b,200
11,189,seller-a,900
11,189,seller-b,200
12,206,seller-a,900
12,206,seller-b,200
13,224,seller-a,900
13,224,seller-b,200
14,241,seller-a,900
14,241,seller-b,200
15,259,seller-a,900
15,259,seller-b,200
16,263,seller-a,900
16,263,seller-b,200
